future_profitable,future_price_up,future_long_bias,future_volatility,future_pnl,future_net_result
0.0,1,0.2,66.49351847872865,0.0,-0.4
0.0,1,0.2,54.29173049078954,0.0,-0.4
0.0,1,0.2,52.68176154697177,-1.013526,-1.013526
0.0,1,0.0,64.52171727175065,-1.013526,-1.013526
0.0,1,0.0,64.5217172717802,-1.013526,-1.013526
0.0,1,0.2,52.29263810234938,0.0,-0.4
0.0,1,0.4,2.026573390380967,0.0,-0.4
0.0,0,0.4,2.0265733903573877,0.0,-0.4
1.0,1,0.4,79.20655275739811,2.513166,2.11216073
0.0,1,0.4,83.722589542568,-1.0108129,-1.0108129
0.0,1,0.4,269.13529682992476,0.0,-0.4
0.0,1,0.2,309.0794525680265,0.0,-0.4
0.0,1,0.2,276.2215994446689,0.0,-0.4
0.0,1,0.2,238.36484640102955,0.0,-0.4
0.0,1,0.4,52.90536834575564,-1.011175,-1.011175
0.0,1,0.2,88.02751274349119,-1.1154552,-1.1154552
0.0,1,0.2,104.86030230650049,-1.1154552,-1.1154552
0.0,1,0.2,111.97989998127207,-1.1154552,-1.1154552
0.0,1,0.4,123.23557927734561,0.0,-0.4
0.0,1,0.4,39.216935115257726,0.0,-0.4
0.0,1,0.4,39.2169351152916,0.0,-0.4
0.0,1,0.4,32.020493435297084,0.0,-0.4
0.0,0,0.6,55.991142155146505,-1.0683076,-1.0683076
0.0,0,0.6,68.57486419842444,-1.0683076,-1.0683076
0.0,0,0.6,64.67068887704157,0.0,-0.4
0.0,0,0.8,59.940929253973806,0.0,-0.4
0.0,0,1.0,58.87548725763437,-1.0318483,-1.0318483
0.0,0,1.0,62.84809463955961,-1.0318483,-1.0318483
0.0,0,1.0,69.42670235450676,0.0,-0.4
0.0,0,0.8,58.16929602303858,0.0,-0.4
0.0,0,0.8,59.54295088258029,-1.0595429,-1.0595429
0.0,0,0.8,56.36492703626552,0.0,-0.4
0.0,0,0.8,51.154696752124266,0.0,-0.4
0.0,1,0.6,91.67542200507158,-1.1193558,-1.1193558
0.0,1,0.6,96.86493173388712,0.0,-0.4
0.0,1,0.6,70.19674493747017,0.0,-0.4
0.0,1,0.4,90.7483994339635,-1.0350977,-1.0350977
1.0,1,0.2,109.67183776995341,2.5323985,2.13138554
0.0,1,0.2,127.53559503073966,0.0,-0.40101296
0.0,1,0.4,119.4195963812156,0.0,-0.4
0.0,1,0.4,36.19016440780979,0.0,-0.4
0.0,1,0.4,21.813757124096117,-1.0077248,-1.0077248
0.0,1,0.4,24.08916768735764,-1.0077248,-1.0077248
0.0,1,0.4,32.97590028901881,0.0,-0.4
0.0,1,0.2,56.865833326153705,-1.0247539,-1.0247539
0.0,1,0.0,46.97496141438872,0.0,-0.4
0.0,1,0.0,41.863384954951044,0.0,-0.4
0.0,1,0.0,45.632477468281614,-1.0397074,-1.0397074
0.0,1,0.0,61.59216670893972,-1.2420752,-1.2420752
0.0,1,0.0,72.94300514721431,-1.2420752,-1.2420752
1.0,1,0.0,70.67615524287076,2.5104551,2.1094509
0.0,1,0.0,39.74095406406805,0.0,-0.4010042
0.0,1,0.2,27.668502487913553,0.0,-0.4
0.0,0,0.4,33.53165713056766,0.0,-0.4
0.0,0,0.4,36.691934126182794,0.0,-0.4
0.0,0,0.4,40.080655183203646,0.0,-0.4
0.0,1,0.4,42.7261863488281,-1.0115124,-1.0115124
0.0,1,0.2,66.01374856739896,-1.0204864,-1.0204864
0.0,1,0.0,81.81636144394618,0.0,-0.4
0.0,1,0.0,82.08424331096116,0.0,-0.4
0.0,1,0.0,42.4365762042937,-1.0225506,-1.0225506
1.0,1,0.0,67.70209007078154,2.5039792,2.1029775699999997
0.0,1,0.0,73.18279852506163,0.0,-0.40100163
0.0,1,0.0,69.6511665370088,-1.2146775,-1.2146775
0.0,1,0.0,48.008405513744734,-1.2146775,-1.2146775
0.0,1,0.2,1.7672011703700772,0.0,-0.4
0.0,0,0.4,2.173016331362269,0.0,-0.4
0.0,0,0.4,2.190890224586141,0.0,-0.4
0.0,1,0.4,59.9069445054726,-1.1149601,-1.1149601
0.0,1,0.4,73.88777300736216,-1.1453236,-1.1453236
0.0,1,0.2,72.16167265240888,0.0,-0.4
0.0,1,0.0,58.28985331941465,0.0,-0.4
0.0,1,0.0,5.531997831150367,0.0,-0.4
0.0,1,0.0,57.4881987890387,-1.1084903,-1.1084903
0.0,1,0.0,71.58733826600938,-1.1084903,-1.1084903
0.0,1,0.0,71.58733826604326,-1.1084903,-1.1084903
1.0,1,0.0,65.24326264085221,2.5080805,2.10707726
0.0,1,0.0,21.859607270709628,0.0,-0.40100324
0.0,1,0.2,58.99659507153933,0.0,-0.4
0.0,1,0.2,66.38428300464568,0.0,-0.4
0.0,1,0.2,57.06721326686894,0.0,-0.4
0.0,1,0.2,48.894775999599545,-1.0212823,-1.0212823
0.0,1,0.2,56.057381316476985,-1.0864516,-1.0864516
0.0,1,0.0,67.70791681972327,-1.0864516,-1.0864516
1.0,1,0.0,122.73845982446093,2.5984302,2.19739084
0.0,1,0.2,106.39843288359425,0.0,-0.4
0.0,1,0.2,88.34016312011516,0.0,-0.4
0.0,0,0.2,91.46076218842269,0.0,-0.4
0.0,0,0.2,93.95510427904176,0.0,-0.4
0.0,0,0.2,53.263139224797975,-1.0069336,-1.0069336
0.0,1,0.0,65.23375659953064,-1.0069336,-1.0069336
0.0,1,0.0,65.2337565995778,-1.0069336,-1.0069336
0.0,1,0.0,51.979293955348545,0.0,-0.4
0.0,1,0.0,24.264109299535807,0.0,-0.4
0.0,0,0.0,24.264109299495953,0.0,-0.4
0.0,0,0.2,63.80633197489595,0.0,-0.4
0.0,0,0.4,90.95530770703125,-1.0136971,-1.0136971
0.0,0,0.6,112.24145847267042,-1.0344269,-1.0344269
0.0,0,0.8,92.68892598399799,0.0,-0.4
0.0,0,1.0,64.77596004735472,-1.1014736,-1.1014736
1.0,0,1.0,81.46085612150287,3.0584335,2.6596569
0.0,0,1.0,88.83585604947174,0.0,-0.3987766
0.0,0,1.0,92.97370660589078,0.0,-0.3987766
0.0,0,1.0,35.674474348351595,0.0,-0.4
0.0,0,0.8,10.724407677301356,0.0,-0.4
0.0,0,0.6,9392.61311372503,-177.37123,-177.6990581
